Model,F1 Score,Accuracy,Precision,Recall,FPR
AdaBoost,0.9998710734394823,0.9998814744577457,0.9998893828202363,0.9998527730389104,4.6155798899184194e-05
DecisionTree,0.9984535458600372,0.9985776934929478,0.99825840856289,0.9986497179718833,0.0016039140117466509
GradientBoosting,0.9998227276021403,0.9998370273794003,0.9998364566260329,0.9998090036291876,9.231159779836839e-05
MLP,0.9159469002901973,0.9210597664002429,0.9071961498540144,0.9311221934512959,0.1023293815550331
LSTM,0.3940873427869262,0.6504028890889175,0.32520144454445876,0.5,0.0
GRU,0.3940873427869262,0.6504028890889175,0.32520144454445876,0.5,0.0
